(41.056514739990234, 28.819950103759766)
(41.056522369384766, 28.8199520111084)
(41.05652618408203, 28.81995391845703)
(41.05653381347656, 28.819957733154297)
(41.05654525756836, 28.819961547851562)
(41.056556701660156, 28.819965362548828)
(41.05656433105469, 28.819971084594727)
(41.056575775146484, 28.819974899291992)
(41.056575775146484, 28.819974899291992)
(41.056575775146484, 28.819974899291992)
(41.056575775146484, 28.819974899291992)
(41.056575775146484, 28.819974899291992)
(41.056575775146484, 28.819974899291992)
(41.05657196044922, 28.819974899291992)
(41.056575775146484, 28.81997299194336)
(41.056575775146484, 28.81997299194336)
(41.056575775146484, 28.81997299194336)
(41.056575775146484, 28.81997299194336)
(41.056575775146484, 28.819971084594727)
(41.056575775146484, 28.819971084594727)
(41.056575775146484, 28.819969177246094)
(41.05657196044922, 28.819969177246094)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.05657196044922, 28.81996726989746)
(41.056575775146484, 28.81998634338379)
(41.056575775146484, 28.819984436035156)
(41.056575775146484, 28.819984436035156)
(41.056575775146484, 28.819984436035156)
(41.056575775146484, 28.819984436035156)
(41.056575775146484, 28.819984436035156)
(41.05657958984375, 28.819982528686523)
(41.056575775146484, 28.819982528686523)
(41.056575775146484, 28.819982528686523)
(41.056575775146484, 28.819982528686523)
(41.056575775146484, 28.81998062133789)
